일자,카테고리,순위,브랜드,상품명,가격
2026-01-07,포인트_주간,38,Laka,マキシグレイヤーティント,1830
2026-01-07,포인트_주간,39,JUDYDOLL,わがままチークハイライター,1795
2026-01-07,포인트_주간,40,ブイディーエル,チークステインブラッシャー,2210
2026-01-07,포인트_주간,41,ロムアンド,グラスティングカラーグロス,1320
2026-01-07,포인트_주간,42,ペリペラ,シロッピートックチーク,1390
2026-01-07,포인트_주간,43,BBIA,レディトゥウェアアイパレット,1500
2026-01-07,포인트_주간,44,EITHER&,デューイシロップティント,1633
2026-01-07,포인트_주간,45,BRAYE,シングロウティント,2272
2026-01-07,포인트_주간,46,LEPOREM,まつ毛美容液アイラッシュセラム,1019
2026-01-07,포인트_주간,47,クリオ,ベルベットリップライナー,1400
2026-01-07,포인트_주간,48,ペリペラ,インクグラスティングリップグロス,1190
2026-01-07,포인트_주간,49,ブイディーエル,チークステインリキッドブラッシャー,1880
2026-01-07,포인트_주간,50,ロムアンド,ベターザンパレット,3100
2026-01-07,포인트_주간,51,リリーバイレッド,ラブビームチークバーム,1320
2026-01-07,포인트_주간,52,LEPOREM,"セルフまつ毛カールキット, 5回分",1580
2026-01-07,포인트_주간,53,インガ,ウォーターグロウリップティント,1690
2026-01-07,포인트_주간,54,ラネージュ,グレイズティントリップセラム,2100
2026-01-07,포인트_주간,55,SISTER ANN,"ウォータープルーフペンシルアイライナー, 2個",1880
2026-01-07,포인트_주간,56,TOCOBO,ジューシーベリープランピングリップオイル,1440
2026-01-07,포인트_주간,57,ミュード,インスパイアスキニーブロウカラ,1400
2026-01-07,포인트_주간,58,MilleFée,シェイクドロップチーク,1950
2026-01-07,포인트_주간,59,Laka,ボンディンググロウリップスティック,2060
2026-01-07,포인트_주간,60,フィー,"3Dボリューミングティント, 2個",3100
2026-01-07,포인트_주간,61,BBIA,オーバーグレイズ,1400
2026-01-07,포인트_주간,62,エスポア,クチュールリップティントグレイズ,1993
2026-01-07,포인트_주간,63,AOU,マットバー,1190
2026-01-07,포인트_주간,64,カラーグラム,ヌーディーブラーティント,1190
2026-01-07,포인트_주간,65,BBIA,グロウリップティント,1500
2026-01-07,포인트_주간,66,エチュード,ジンジャーシュガーリップセラム,1400
2026-01-07,포인트_주간,67,EYE2IN,セルフまつげパーマ5回分トライアルキット,1799
2026-01-07,포인트_주간,68,AOU,グロウイティントバーム,1393
2026-01-07,포인트_주간,69,ペリペラ,ピュアブラッシュドサンシャインチーク,784
2026-01-07,포인트_주간,70,ハートパーセント,ドットオンムードリップペンシル,1490
2026-01-07,포인트_주간,71,ミュード,インスパイアスキニーマスカラ&マルチフィクサー,1500
2026-01-07,포인트_주간,72,ラネージュ,リップグロウィバーム,1870
2026-01-07,포인트_주간,73,ペリペラ,パフィープランピングデューリップペンシル,1200
2026-01-07,포인트_주간,74,ペリペラ,ピュアブラッシュドサンシャインチーク,780
2026-01-07,포인트_주간,75,AOU,グロウイクリームチーク,1505
2026-01-07,포인트_주간,76,SISTER ANN,ウォータープルーフペンシルアイライナー,990
2026-01-07,포인트_주간,77,ENTROPY MAKEUP,"ブロウブリーチ, 6個",4574
2026-01-07,포인트_주간,78,Pyt,ゲンバリキッドチーク,1980
2026-01-07,포인트_주간,79,ロムアンド,ハンオールアイポットライナー,1700
2026-01-07,포인트_주간,80,ICLIONE,"セルフまつげパーマ, 10回分",2350
